Question,Answer
how many grams in a troy ounce of gold,"The troy ounce is 480 grains, compared with the avoirdupois ounce, which is 4371â„2 grains."
How many consecutive games did Ken Jennings win?,"In 2004, Jennings won 74 Jeopardy!"
"what county is jennings, la","Jennings is a small city in and the parish seat of Jefferson Davis Parish , Louisiana , United States , near Lake Charles ."
how does nanotechnology affect health,"Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production."
how much does united states spend on health care,"According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008."
what does it take to start a lodge in freemason,"Every new Lodge must be warranted or chartered by a Grand Lodge, but is subject to its direction only in enforcing the published Constitution of the jurisdiction."
how does black pepper grow,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning ."
how south african leaders are elected,"The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994."
how was the phone invented,"The invention of the telephone is the culmination of work done by many individuals, the history of which involves a collection of claims and counterclaims."
how many died in hiroshima and nagasaki,"Within the first two to four months of the bombings, the acute effects killed 90,000â€“166,000 people in Hiroshima and 60,000â€“80,000 in Nagasaki, with roughly half of the deaths in each city occurring on the first day."
what county is Holly Ridge nc in?,"Holly Ridge is a town in Onslow County , North Carolina , United States ."
what forms seasons,"A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight ."
what forms seasons,Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.
what forms seasons,It is the tilt of the Earth that causes the Sun to be higher in the sky during the summer months which increases the solar flux .
how did mohammed gandhi die,He was assassinated on 30 January 1948 by Nathuram Godse who thought Gandhi was too sympathetic to India's Muslims.
how many users do twitter have,"The service rapidly gained worldwide popularity, with over 500 million registered users as of 2012, generating over 340 million tweets daily and handling over 1.6 billion search queries per day."
what kind of books does debbie macomber writes,"Debbie Macomber (born October 22, 1948 in Yakima, Washington ) is a best-selling American author of over 150 romance novels and contemporary women's fiction."
what county is catonsville md in,"Catonsville is a census-designated place (CDP) in Baltimore County , Maryland , United States."
what kind of literature did john steinbeck writing,"As the author of twenty-seven books, including sixteen novels, six non-fiction books, and five collections of short stories, Steinbeck received the Nobel Prize for Literature in 1962."
whatever happened clint walker,"Norman Eugene Walker, known as Clint Walker (born May 30, 1927), is a retired American actor ."
what does the family leave act,The Family and Medical Leave Act of 1993 (FMLA) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons.
